Student_ID,Name,Gender,Age,Education_Level,Employment_Status,City,Device_Type,Internet_Connection_Quality,Course_ID,Course_Name,Category,Course_Level,Course_Duration_Days,Instructor_Rating,Login_Frequency,Average_Session_Duration_Min,Video_Completion_Rate,Discussion_Participation,Time_Spent_Hours,Days_Since_Last_Login,Notifications_Checked,Peer_Interaction_Score,Assignments_Submitted,Assignments_Missed,Quiz_Attempts,Quiz_Score_Avg,Project_Grade,Progress_Percentage,Rewatch_Count,Payment_Mode,Fee_Paid,Discount_Used,Payment_Amount,App_Usage_Percentage,Reminder_Emails_Clicked,Support_Tickets_Raised,Satisfaction_Rating,target,Enrollment_Month
STU100000,Vihaan Patel,Male,19,Diploma,Student,Indore,Laptop,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,3,30,55.0,2,0.5,1,6,4.3,8,1,5,80.9,71.2,70.8,0,Scholarship,No,No,1740,49,3,4,3.5,1,6
STU100001,Arjun Nair,Female,17,Bachelor,Student,Delhi,Laptop,Low,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,37,84.1,2,0.9,3,5,7.8,4,6,3,78.4,42.5,55.6,2,Credit Card,Yes,No,6147,86,0,0,4.5,0,4
STU100002,Aditya Bhardwaj,Female,34,Master,Student,Chennai,Mobile,Medium,C101,Python Basics,Programming,Beginner,45,4.6,5,9,75.6,3,0.5,19,5,6.7,8,2,3,100.0,87.9,78.8,2,NetBanking,Yes,No,4280,85,1,0,5.0,1,1
STU100003,Krishna Singh,Female,29,Diploma,Employed,Surat,Mobile,High,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,2,27,63.3,1,7.4,19,9,6.4,0,10,4,59.1,51.4,24.7,4,UPI,Yes,No,3812,42,2,3,3.8,1,5
STU100004,Krishna Nair,Female,19,Master,Self-Employed,Lucknow,Laptop,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,2,36,86.4,1,0.5,4,7,7.5,5,5,8,84.8,93.0,64.9,4,Debit Card,Yes,Yes,5486,91,3,0,4.0,1,12
STU100005,Rohan Reddy,Female,21,Bachelor,Student,Jaipur,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,7,30,85.9,1,11.8,4,9,6.2,7,3,4,99.6,65.6,75.3,5,UPI,Yes,No,4526,74,5,2,4.5,1,10
STU100006,Sai Nair,Male,22,Diploma,Employed,Chennai,Laptop,High,C103,Introduction to AI,Programming,Intermediate,75,4.5,5,43,94.5,5,0.5,0,6,7.2,3,7,5,74.4,80.4,55.1,1,UPI,Yes,No,5682,83,2,0,4.8,1,3
STU100007,Krishna Desai,Male,23,Master,Employed,Hyderabad,Mobile,Low,C101,Python Basics,Programming,Beginner,45,4.6,8,12,79.2,1,0.5,1,6,5.4,7,3,3,76.3,72.9,73.4,3,NetBanking,Yes,No,4590,68,0,0,5.0,1,11
STU100008,Vihaan Joshi,Male,17,Bachelor,Student,Nagpur,Tablet,High,C103,Introduction to AI,Programming,Intermediate,75,4.5,7,20,82.3,2,0.9,2,6,6.8,10,0,6,76.3,69.4,92.3,2,Credit Card,Yes,Yes,5055,78,4,2,4.7,1,7
STU100009,Vivaan Nair,Male,32,Bachelor,Student,Kolkata,Laptop,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,7,30,63.4,2,3.3,0,2,6.4,3,7,3,55.8,54.1,42.9,0,UPI,Yes,Yes,2951,48,1,2,4.4,1,11
STU100010,Aditya Gupta,Female,31,Bachelor,Student,Ahmedabad,Mobile,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,6,38,82.9,2,4.2,3,1,4.9,3,7,4,58.6,100.0,52.0,2,UPI,Yes,No,4631,88,4,0,3.8,1,7
STU100011,Sneha Bhardwaj,Male,21,Master,Student,Pune,Mobile,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,28,64.3,3,2.9,2,3,3.2,5,5,2,82.1,54.6,55.2,0,Scholarship,No,No,2693,60,3,1,4.6,0,12
STU100012,Rohan Desai,Female,28,Master,Student,Ahmedabad,Mobile,High,C108,Excel for Business,Business,Beginner,25,4.1,6,30,53.5,4,13.4,3,6,6.7,3,6,3,81.5,76.7,40.6,2,Credit Card,Yes,No,3408,100,0,2,5.0,1,6
STU100013,Vihaan Mehta,Female,24,Master,Student,Ahmedabad,Mobile,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,21,88.2,2,9.2,5,4,7.0,5,5,7,73.3,66.4,64.2,2,Credit Card,Yes,No,3153,88,2,1,5.0,1,10
STU100014,Sai Joshi,Male,19,Diploma,Employed,Hyderabad,Mobile,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,23,73.8,3,0.5,11,4,10.0,2,8,4,58.3,61.4,40.9,3,NetBanking,Yes,No,4525,60,1,1,3.6,0,7
STU100015,Aditya Bhardwaj,Male,26,Diploma,Employed,Lucknow,Mobile,Low,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,20,92.4,2,10.5,4,5,6.4,5,5,5,68.2,68.9,65.8,2,Free,No,No,0,32,1,0,4.2,1,6
STU100016,Sai Reddy,Female,32,Bachelor,Student,Chennai,Mobile,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,6,34,83.5,1,3.5,5,5,4.7,5,4,2,100.0,80.4,63.3,0,Debit Card,Yes,No,4834,40,2,1,3.8,1,8
STU100017,Rahul Singh,Female,29,Bachelor,Employed,Lucknow,Mobile,Low,C103,Introduction to AI,Programming,Intermediate,75,4.5,6,44,55.6,2,9.8,1,5,7.9,2,8,8,74.1,69.0,34.9,1,UPI,Yes,No,5565,59,1,0,5.0,1,12
STU100018,Rohan Shah,Female,27,Bachelor,Student,Mumbai,Laptop,Low,C107,Statistics for Data Science,Math,Intermediate,50,4.2,9,58,89.5,1,0.5,2,3,2.7,4,6,6,60.7,53.4,58.0,5,UPI,Yes,Yes,3611,77,2,0,4.0,0,11
STU100019,Neha Sharma,Female,28,Bachelor,Student,Pune,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,4,27,48.4,0,7.2,2,4,7.7,2,8,6,59.9,76.4,32.8,8,Free,No,Yes,0,61,2,1,5.0,1,5
STU100020,Pooja Singh,Female,26,HighSchool,Student,Lucknow,Laptop,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,7,42,66.1,4,6.3,2,5,7.8,9,1,7,74.4,57.3,80.0,3,NetBanking,Yes,No,3341,70,4,1,5.0,1,8
STU100021,Kavya Verma,Male,26,Bachelor,Employed,Ahmedabad,Mobile,High,C101,Python Basics,Programming,Beginner,45,4.6,8,34,86.3,2,4.3,5,4,5.6,2,8,6,71.0,51.8,44.8,2,Debit Card,Yes,No,4422,66,1,0,3.4,1,5
STU100022,Rahul Kumar,Male,24,Diploma,Employed,Indore,Laptop,High,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,2,34,47.2,5,0.5,18,6,3.9,6,4,6,63.6,74.2,56.2,0,UPI,Yes,No,3970,46,4,1,2.8,0,6
STU100023,Priya Joshi,Female,17,Bachelor,Unemployed,Pune,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,5,36,49.1,2,1.1,1,6,6.1,3,7,3,77.5,43.5,37.4,2,UPI,Yes,Yes,2893,59,5,0,3.9,1,3
STU100024,Ritika Reddy,Female,25,Master,Student,Delhi,Mobile,Low,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,32,49.7,1,0.5,0,5,4.6,6,4,8,91.2,66.2,56.7,1,NetBanking,Yes,No,6696,74,0,2,4.0,0,2
STU100025,Arjun Iyer,Female,35,Master,Student,Bengaluru,Mobile,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,7,35,87.1,2,0.5,2,5,8.7,5,5,1,73.1,51.2,63.1,7,UPI,Yes,Yes,3937,38,3,1,4.3,1,12
STU100026,Sakshi Sharma,Male,31,Bachelor,Student,Chennai,Laptop,High,C103,Introduction to AI,Programming,Intermediate,75,4.5,4,39,22.2,3,3.7,9,6,4.8,5,5,5,64.3,62.8,40.9,1,NetBanking,Yes,No,5849,93,2,0,5.0,0,2
STU100027,Ritika Kumar,Male,34,Bachelor,Self-Employed,Surat,Mobile,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,6,33,57.3,1,2.3,3,2,4.2,5,5,5,67.4,72.5,53.7,2,Debit Card,Yes,No,4207,100,1,1,5.0,1,10
STU100028,Vihaan Iyer,Female,22,Diploma,Self-Employed,Bhopal,Laptop,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,4,26,53.3,1,6.5,3,4,10.0,4,5,5,55.1,57.1,45.5,4,UPI,Yes,No,3271,89,3,1,5.0,0,7
STU100029,Pooja Sharma,Male,17,Diploma,Student,Ahmedabad,Mobile,Low,C103,Introduction to AI,Programming,Intermediate,75,4.5,6,33,23.6,2,0.5,0,4,5.0,3,7,2,66.7,69.0,29.7,3,Debit Card,Yes,No,5325,67,2,0,5.0,0,1
STU100030,Aarav Nair,Female,25,Bachelor,Student,Bhopal,Mobile,High,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,34,95.4,1,12.6,0,8,5.0,6,4,2,86.0,67.2,72.7,5,Debit Card,Yes,Yes,5787,87,2,0,3.9,1,3
STU100031,Sai Gupta,Male,17,Bachelor,Employed,Bhopal,Laptop,Medium,C101,Python Basics,Programming,Beginner,45,4.6,2,43,60.2,1,8.0,8,4,4.6,7,3,4,80.2,72.4,66.7,1,Credit Card,Yes,No,4345,61,2,0,4.3,1,7
STU100032,Ananya Shah,Female,24,Master,Employed,Lucknow,Laptop,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,39,55.2,4,0.5,4,6,8.1,9,1,5,63.4,61.8,76.4,2,Free,No,Yes,0,47,3,0,3.9,0,5
STU100033,Arjun Joshi,Other,21,Bachelor,Employed,Vadodara,Mobile,Medium,C101,Python Basics,Programming,Beginner,45,4.6,3,13,70.4,1,0.5,7,6,3.8,1,9,5,64.5,48.8,33.1,0,UPI,Yes,No,4450,25,4,1,4.9,0,4
STU100034,Aarav Bhardwaj,Female,18,Bachelor,Student,Hyderabad,Mobile,Low,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,44,51.8,1,1.0,0,7,7.8,7,3,1,87.3,54.4,62.9,2,Free,No,No,0,51,1,1,4.3,0,2
STU100035,Sneha Bose,Male,27,Bachelor,Unemployed,Nagpur,Mobile,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,5,24,64.4,1,1.8,0,5,7.3,3,7,3,82.9,76.2,44.4,3,UPI,Yes,No,4775,87,1,1,3.7,1,6
STU100036,Vivaan Singh,Female,17,Master,Employed,Bhopal,Laptop,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,34,57.2,5,18.8,4,8,8.3,4,6,4,81.6,54.4,46.7,2,Free,No,No,0,77,5,0,4.1,1,1
STU100037,Aditya Nair,Male,33,Bachelor,Employed,Kolkata,Mobile,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,8,53,69.8,2,0.5,9,3,10.0,5,5,6,77.7,94.4,59.2,1,Free,No,No,0,51,5,0,4.9,0,4
STU100038,Arjun Verma,Female,29,Bachelor,Unemployed,Lucknow,Laptop,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,4,49,63.1,1,2.9,7,7,8.8,7,3,3,73.7,46.7,66.4,3,UPI,Yes,No,3746,67,4,0,4.5,1,5
STU100039,Sai Kumar,Female,20,HighSchool,Unemployed,Surat,Laptop,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,6,50,64.2,3,9.8,4,7,5.4,6,4,2,78.4,67.8,61.8,2,UPI,Yes,No,4054,29,0,0,5.0,1,12
STU100040,Krishna Bose,Female,28,Bachelor,Student,Surat,Laptop,Low,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,8,25,24.2,5,2.4,8,2,9.4,3,7,2,82.1,89.2,30.9,0,UPI,Yes,No,7074,57,3,0,4.7,0,9
STU100041,Krishna Nair,Female,22,Master,Student,Ahmedabad,Mobile,Low,C103,Introduction to AI,Programming,Intermediate,75,4.5,2,17,65.6,3,1.0,10,7,6.9,7,3,5,76.4,51.9,67.6,1,Free,No,No,0,60,1,1,3.7,1,9
STU100042,Sneha Reddy,Male,31,Bachelor,Student,Bhopal,Tablet,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,40,72.2,2,2.8,7,10,7.0,6,4,7,87.6,65.5,64.6,1,UPI,Yes,No,3540,62,2,0,4.3,1,2
STU100043,Rohan Singh,Other,27,Bachelor,Employed,Delhi,Mobile,Medium,C103,Introduction to AI,Programming,Intermediate,75,4.5,2,62,37.0,2,10.9,8,8,3.6,6,4,7,65.3,76.6,52.8,2,Free,No,No,0,100,2,1,5.0,0,6
STU100044,Rahul Singh,Male,37,Bachelor,Employed,Jaipur,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,27,61.6,1,4.4,12,6,2.8,2,8,3,51.6,66.7,36.9,1,Debit Card,Yes,No,5207,79,0,0,2.9,1,12
STU100045,Vivaan Singh,Male,30,Bachelor,Employed,Delhi,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,6,33,48.1,3,9.5,13,5,4.8,5,5,2,66.5,57.0,49.7,2,Free,No,Yes,0,67,2,0,3.1,0,9
STU100046,Aditya Gupta,Male,27,Bachelor,Unemployed,Pune,Mobile,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,51,29.3,4,9.6,8,5,3.6,6,4,2,72.6,75.0,50.0,2,Free,No,No,0,76,3,2,3.3,0,2
STU100047,Krishna Gupta,Male,24,Bachelor,Student,Bengaluru,Mobile,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,21,54.7,3,0.5,3,9,8.0,7,3,1,83.9,73.4,64.8,2,UPI,Yes,No,7116,100,1,3,3.0,1,5
STU100048,Nikhil Reddy,Male,25,Bachelor,Employed,Pune,Mobile,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,6,16,40.7,1,0.5,13,4,5.1,4,6,1,71.7,48.6,40.7,0,Scholarship,No,No,714,100,2,0,3.8,0,12
STU100049,Krishna Sharma,Male,17,HighSchool,Employed,Delhi,Tablet,High,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,5,17,80.4,6,2.2,31,5,4.3,5,5,1,77.4,48.0,60.5,3,Credit Card,Yes,Yes,3387,79,1,0,4.7,0,10
STU100050,Isha Mehta,Male,22,Bachelor,Employed,Kolkata,Laptop,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,5,17,85.6,1,0.5,1,1,7.2,6,3,6,75.5,70.0,69.4,3,Debit Card,Yes,Yes,3696,90,2,0,4.3,1,12
